date,1. open,2. high,3. low,4. close,5. volume
2024-08-02 10:00:00,167.19,167.519,164.715,164.82,1723680.0
2024-08-02 09:45:00,167.71,168.13,166.96,167.175,1335453.0
2024-08-02 09:30:00,166.44,168.51,166.23,167.74,2598550.0
2024-08-02 09:15:00,166.73,166.99,165.65,166.44,183890.0
2024-08-02 09:00:00,166.8,167.01,166.61,166.73,73716.0
2024-08-02 08:45:00,166.8,171.31,166.61,166.79,70572.0
2024-08-02 08:30:00,168.29,168.88,166.26,166.8,125072.0
2024-08-02 08:15:00,167.65,168.49,167.55,168.2,14223.0
2024-08-02 08:00:00,167.896,170.76,167.0,167.58,44051.0
2024-08-02 07:45:00,167.81,167.82,167.35,167.67,13906.0
2024-08-02 07:30:00,167.59,167.96,167.55,167.82,5303.0
2024-08-02 07:15:00,167.79,167.9,167.59,167.66,11782.0
2024-08-02 07:00:00,167.88,168.05,167.75,167.8,11924.0
2024-08-02 06:45:00,168.04,168.16,167.74,167.75,5858.0
2024-08-02 06:30:00,167.98,168.2,167.91,168.04,6020.0
2024-08-02 06:15:00,167.79,168.18,167.74,167.98,12326.0
2024-08-02 06:00:00,168.28,168.3,167.74,167.94,9503.0
2024-08-02 05:45:00,168.14,168.28,168.0,168.21,2590.0
2024-08-02 05:30:00,167.97,168.17,167.9,168.14,13441.0
2024-08-02 05:15:00,168.25,168.38,167.97,167.97,5707.0
2024-08-02 05:00:00,168.8,168.87,168.25,168.25,3396.0
2024-08-02 04:45:00,168.9,168.98,168.58,168.8,8743.0
2024-08-02 04:30:00,168.98,168.98,168.58,168.9,2344.0
2024-08-02 04:15:00,168.1,168.99,168.03,168.99,8411.0
2024-08-02 04:00:00,168.0,169.22,167.75,168.03,14167.0
2024-08-01 19:45:00,170.56,170.76,170.21,170.21,5484.0
2024-08-01 19:30:00,170.45,170.761,170.31,170.65,12156.0
2024-08-01 19:15:00,170.02,170.75,169.33,170.4,6136.0
2024-08-01 19:00:00,169.0,170.58,168.84,170.03,19525.0
2024-08-01 18:45:00,169.32,169.53,168.51,169.09,3097.0
2024-08-01 18:30:00,169.789,169.87,169.26,169.47,3187.0
2024-08-01 18:15:00,169.19,169.82,168.51,169.39,12372.0
2024-08-01 18:00:00,169.43,170.76,168.51,169.1,18791.0
2024-08-01 17:45:00,169.21,169.5,169.06,169.22,5632.0
2024-08-01 17:30:00,169.38,169.5,169.11,169.2,4292.0
2024-08-01 17:15:00,169.5,169.5,168.2,169.11,29612.0
2024-08-01 17:00:00,170.0,170.76,169.27,169.49,170708.0
2024-08-01 16:45:00,169.0,170.76,165.92,170.0,452642.0
2024-08-01 16:30:00,169.07,170.76,168.64,169.01,38774.0
2024-08-01 16:15:00,170.76,170.76,168.59,169.3,154865.0
2024-08-01 16:00:00,170.77,170.78,169.095,169.76,6773750.0
2024-08-01 15:45:00,169.76,170.79,169.75,170.78,2040229.0
2024-08-01 15:30:00,169.69,170.07,169.5,169.75,715021.0
2024-08-01 15:15:00,169.27,169.83,169.13,169.705,537906.0
2024-08-01 15:00:00,169.32,169.55,169.03,169.27,466974.0
2024-08-01 14:45:00,169.085,169.45,169.011,169.31,488788.0
2024-08-01 14:30:00,169.086,169.35,168.88,169.08,366523.0
2024-08-01 14:15:00,169.28,169.46,168.96,169.09,447916.0
2024-08-01 14:00:00,170.01,170.15,169.21,169.278,387933.0
2024-08-01 13:45:00,169.555,170.07,169.17,170.02,467612.0
2024-08-01 13:30:00,169.9,170.0,169.43,169.55,432672.0
2024-08-01 13:15:00,169.78,170.05,169.638,169.89,355680.0
2024-08-01 13:00:00,170.04,170.24,169.72,169.77,353541.0
2024-08-01 12:45:00,170.14,170.51,169.98,170.01,388518.0
2024-08-01 12:30:00,170.46,170.59,169.93,170.16,839802.0
2024-08-01 12:15:00,170.65,171.0,170.165,170.465,669183.0
2024-08-01 12:00:00,170.255,170.9,170.17,170.65,596345.0
2024-08-01 11:45:00,170.42,170.9,170.22,170.25,682033.0
2024-08-01 11:30:00,171.2,171.36,170.43,170.43,588881.0
2024-08-01 11:15:00,171.42,171.625,171.14,171.21,634645.0
2024-08-01 11:00:00,172.37,172.6,171.115,171.44,877351.0
2024-08-01 10:45:00,172.27,172.54,171.85,172.4,777454.0
2024-08-01 10:30:00,172.9,173.19,172.14,172.27,692169.0
2024-08-01 10:15:00,173.59,173.635,172.84,172.9,902136.0
2024-08-01 10:00:00,173.78,174.03,173.28,173.6,966114.0
2024-08-01 09:45:00,172.84,174.05,172.71,173.81,1385291.0
2024-08-01 09:30:00,170.25,172.93,170.25,172.83,2049914.0
2024-08-01 09:15:00,171.56,171.65,169.98,170.15,151431.0
2024-08-01 09:00:00,171.95,172.1,171.41,171.55,25108.0
2024-08-01 08:45:00,171.43,173.515,171.29,171.94,34183.0
2024-08-01 08:30:00,171.27,171.71,171.17,171.481,33962.0
2024-08-01 08:15:00,171.55,171.58,171.23,171.24,44937.0
2024-08-01 08:00:00,171.954,172.71,170.51,171.54,50836.0
2024-08-01 07:45:00,171.15,171.15,170.59,170.8,12945.0
2024-08-01 07:30:00,170.87,171.32,170.58,171.1,26498.0
2024-08-01 07:15:00,171.37,171.37,170.9,170.9,15622.0
2024-08-01 07:00:00,171.51,171.66,171.29,171.39,12604.0
2024-08-01 06:45:00,171.43,171.55,171.43,171.51,352.0
2024-08-01 06:30:00,171.58,171.58,171.38,171.47,2884.0
2024-08-01 06:15:00,171.51,171.58,171.51,171.58,728.0
2024-08-01 06:00:00,171.57,171.57,171.38,171.57,3245.0
2024-08-01 05:45:00,171.4,171.64,171.3,171.57,6264.0
2024-08-01 05:30:00,171.45,171.54,171.33,171.35,1426.0
2024-08-01 05:15:00,171.26,171.45,171.21,171.38,857.0
